evaluation_id,run_id,step,candidate_id,cr,ci,model_id,driver,degree,channel,alpha,max_iter,score,pearson01,spearman01,mae01,gradient01,spectral01,autocorrelation01,entropy,anisotropy,quantization_index,compression_ratio,escaped_fraction,runtime_ms,accepted,is_best,seed,timestamp,metrics_json
57,run_1789774700_1967,6,56,-0.7187688054632696,0.2707448912389934,V1_INV_PI,V1,2,0,1.0,200,0.570272,0.438934,0.573851,0.623671,0.442799,0.433146,0.996787,0.390602,0.02445,0.234444,0.401111,0.998889,4.2,0,0,,2026-09-19T02:38:46,
58,run_1789774700_1967,6,57,-0.7220750554632697,0.2707448912389934,V1_INV_PI,V1,2,0,1.0,200,0.574093,0.444869,0.574121,0.624141,0.454736,0.437357,0.995483,0.382031,0.055473,0.233333,0.396667,0.998889,3.8,0,0,,2026-09-19T02:38:46,
59,run_1789774700_1967,6,58,-0.7204219304632696,0.2723980162389934,V1_INV_PI,V1,2,0,1.0,200,0.569833,0.440887,0.572728,0.622513,0.438312,0.433619,0.996905,0.392166,0.024671,0.234444,0.396667,0.998889,3.9,0,0,,2026-09-19T02:38:46,
60,run_1789774700_1967,6,59,-0.7204219304632696,0.26909176623899345,V1_INV_PI,V1,2,0,1.0,200,0.573189,0.445173,0.574522,0.625393,0.441085,0.442786,0.99552,0.384066,0.030206,0.234444,0.412222,0.998889,4.4,0,0,,2026-09-19T02:38:46,
61,run_1789774700_1967,6,60,-0.7192529945656206,0.2719138271366424,V1_INV_PI,V1,2,0,1.0,200,0.56966,0.438418,0.573965,0.620397,0.447156,0.428748,0.99677,0.399288,0.016534,0.234444,0.407778,0.996667,3.8,0,0,,2026-09-19T02:38:46,
62,run_1789774700_1967,6,61,-0.7192529945656206,0.26957595534134443,V1_INV_PI,V1,2,0,1.0,200,0.572265,0.444406,0.57381,0.622304,0.449221,0.435068,0.99402,0.392802,0.010628,0.234444,0.41,0.998889,3.9,0,0,,2026-09-19T02:38:46,
63,run_1789774700_1967,6,62,-0.7215908663609186,0.2719138271366424,V1_INV_PI,V1,2,0,1.0,200,0.567489,0.435054,0.572989,0.623739,0.437761,0.427254,0.996425,0.38287,0.058956,0.234444,0.405556,1.0,3.8,0,0,,2026-09-19T02:38:46,
64,run_1789774700_1967,6,63,-0.7215908663609186,0.26957595534134443,V1_INV_PI,V1,2,0,1.0,200,0.573331,0.444508,0.574173,0.626116,0.443918,0.440096,0.997058,0.380302,0.023841,0.234444,0.401111,0.998889,3.9,0,0,,2026-09-19T02:38:46,
65,run_1789774700_1967,6,64,-0.7212587497120846,0.2714703490423983,V1_INV_PI,V1,2,0,1.0,200,0.571596,0.441874,0.573977,0.623369,0.448504,0.432423,0.995908,0.383276,0.045148,0.234444,0.403333,0.998889,3.8,0,0,,2026-09-19T02:38:46,
66,run_1789774700_1967,7,65,-0.7195953679632696,0.2707448912389934,V1_INV_PI,V1,2,0,1.0,200,0.573461,0.443671,0.574471,0.625497,0.445692,0.44059,0.997371,0.387203,0.019996,0.234444,0.407778,1.0,4.1,0,0,,2026-09-19T02:38:46,
